Hang_xe,Tuoi_xe,Nam_dang_ky,Tinh_trang_xe,Dung_tich_xe,Dong_xe,So_km_da_di,Loai_xe,Gia_xe
Honda,1,2022,Đã sử dụng,100 - 175 cc,Vario,19000,Tay ga,35000000.0
Honda,11,2012,Đã sử dụng,Không rõ,AirBlade,35000,Tay ga,14800000.0
Yamaha,9,2014,Đã sử dụng,100 - 175 cc,Exciter,20000,Tay côn,24800000.0
Yamaha,11,2012,Đã sử dụng,Không rõ,Luvias,30000,Tay ga,7800000.0
Yamaha,10,2013,Đã sử dụng,100 - 175 cc,Exciter,5,Tay côn,19000000.0
Honda,3,2020,Đã sử dụng,Không rõ,Sonic,5555,Tay côn,55555555.0
Honda,5,2018,Đã sử dụng,100 - 175 cc,SH,6000,Tay ga,78900000.0
Honda,3,2020,Đã sử dụng,100 - 175 cc,Vario,10000,Tay ga,39800000.0
Yamaha,3,2020,Đã sử dụng,Không rõ,Exciter,15000,Tay côn,29900000.0
Honda,19,2004,Đã sử dụng,100 - 175 cc,Dylan,9000,Tay ga,14800000.0
Honda,1,2022,Đã sử dụng,100 - 175 cc,WinnerX,6000,Tay côn,38000000.0
Yamaha,2,2021,Đã sử dụng,100 - 175 cc,Exciter,16000,Tay côn,42000000.0
Honda,5,2018,Đã sử dụng,100 - 175 cc,AirBlade,10,Tay ga,28500000.0
Honda,9,2014,Đã sử dụng,100 - 175 cc,Wave,12000,Xe số,11500000.0
Hãng khác,13,2010,Đã sử dụng,Không rõ,Dòng khác,35000,Tay côn,7800000.0
Honda,4,2019,Đã sử dụng,100 - 175 cc,Vario,8000,Tay ga,42800000.0
Suzuki,23,2000,Đã sử dụng,100 - 175 cc,Sport/Xipo,15766,Xe số,24500000.0
Honda,1,2022,Đã sử dụng,Không rõ,Rebel,50000,Tay côn,85000000.0
Piaggio,3,2020,Đã sử dụng,Không rõ,Sprint,10000,Tay ga,63000000.0
Honda,2,2021,Đã sử dụng,100 - 175 cc,SH,6000,Tay ga,77500000.0
Honda,6,2017,Đã sử dụng,Không rõ,PCX,4000,Tay ga,48000000.0
Honda,7,2016,Đã sử dụng,Không rõ,PCX,9000,Tay ga,38000000.0
Suzuki,23,2000,Đã sử dụng,100 - 175 cc,Viva,25700,Xe số,4300000.0
Honda,12,2011,Đã sử dụng,Không rõ,AirBlade,30,Tay ga,13300000.0
Yamaha,9,2014,Đã sử dụng,100 - 175 cc,Exciter,32000,Tay côn,19500000.0
Honda,23,2000,Đã sử dụng,100 - 175 cc,Wave,3000,Xe số,80000000.0
Honda,21,2002,Đã sử dụng,Không rõ,Wave,25000,Xe số,15800000.0
Honda,11,2012,Đã sử dụng,100 - 175 cc,Wave,12345,Tay ga,5800000.0
Yamaha,5,2018,Đã sử dụng,Không rõ,Janus,5000,Tay ga,18600000.0
